,Model,april_2019,april_2018_x,march_2019,march_2018_x,february_2019,february_2018_x,january_2019,january_2018_x,december_2018,december_2017,november_2018,november_2017,october_2018,october_2017,september_2018,september_2017,august_2018,august_2017,july_2018,july_2017,june_2018,june_2017,may_2018,may_2017,april_2018_y,april_2017,march_2018_y,march_2017,february_2018_y,february_2017,january_2018_y,january_2017,Jan. 2017 YTD,Jan. 2016 YTD_x,2016,2015_x,Nov. 2016 YTD,Nov. 2015 YTD,Oct. 2016 YTD,Oct. 2015 YTD,Sept. 2016 YTD,Sept. 2015 YTD,Aug. 2016 YTD,Aug. 2015 YTD,July 2016 YTD,July 2015 YTD,June 2016 YTD,June 2015 YTD,May 2016 YTD,May 2015 YTD,April 2016 YTD,April 2015 YTD,March 2016 YTD_x,March 2015 YTD_x,Feb. 2016 YTD,Feb. 2015 YTD_x,Jan. 2016 YTD_y,Jan. 2015 YTD_x,2015_y,2014,March 2016 YTD_y,March 2015 YTD_y,Feb. 2015 YTD_y,Feb. 2014 YTD,Jan. 2015 YTD_y,Jan. 2014 YTD,Dec. 2014 YTD,Dec. 2013 YTD,November 2014 YTD,November 2013 YTD_x,October 2014 YTD,October 2013 YTD_x,September 2014 YTD,September 2013 YTD,August 2014 YTD,August 2013 YTD_x,July 2014 YTD,July 2013 YTD_x,June 2014 YTD,June 2013 YTD_x,May 2014 YTD,May 2013 YTD_x,April 2014 YTD,April 2013 YTD_x,March 2014 YTD,March 2013 YTD_x,February 2014 YTD,February 2013 YTD,January 2014,January 2013_x,2013,2012,November 2013 YTD_y,November 2012 YTD_x,October 2013 YTD_y,October 2012 YTD_x,September 2013 YTD,% Change_x,August 2013 YTD_y,% Change_y,July 2013 YTD_y,% Change_x,June 2013 YTD_y,% Change_y,May 2013 YTD_y,% Change_x,April 2013 YTD_y,% Change_y,March 2013 YTD_y,% Change_x,2 Months Of 2013,2 Months % Change,January 2013_y,January 2012_x,November 2012 YTD_y,November 2011 YTD,October 2012 YTD_y,October 2011 YTD,September 2012 YTD,September 2011 YTD,August 2012 YTD,August 2011 YTD,July 2012 YTD,July 2011 YTD,June 2012 YTD,June 2011 YTD,May 2012,May 2011,April 2012 YTD,April 2011 YTD,March 2012 YTD,March 2011 YTD,February 2012 YTD,February 2011 YTD,January 2012_y,January 2011,December 2011,% Change_y,November 2011,% Change,October 2011,October 2010
1819,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,84646.0,+ 33.8%,62853.0,+ 33.6%,51197.0,+ 52.2%,32598.0,+ 59.7%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1820,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,84646.0,+ 33.8%,62853.0,+ 33.6%,51197.0,+ 52.2%,31140.0,+ 52.6%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1821,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,84646.0,+ 33.8%,62853.0,+ 33.6%,51197.0,+ 52.2%,31140.0,+ 52.6%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1822,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,84646.0,+ 33.8%,62853.0,+ 33.6%,48649.0,+ 44.7%,32598.0,+ 59.7%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1823,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,84646.0,+ 33.8%,62853.0,+ 33.6%,48649.0,+ 44.7%,32598.0,+ 59.7%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1824,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,84646.0,+ 33.8%,62853.0,+ 33.6%,48649.0,+ 44.7%,31140.0,+ 52.6%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1825,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,84646.0,+ 33.8%,62853.0,+ 33.6%,48649.0,+ 44.7%,31140.0,+ 52.6%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1826,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,51197.0,+ 52.2%,32598.0,+ 59.7%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1827,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,51197.0,+ 52.2%,32598.0,+ 59.7%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1828,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,51197.0,+ 52.2%,31140.0,+ 52.6%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1829,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,51197.0,+ 52.2%,31140.0,+ 52.6%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1830,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,48649.0,+ 44.7%,32598.0,+ 59.7%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1831,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,48649.0,+ 44.7%,32598.0,+ 59.7%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1832,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,48649.0,+ 44.7%,31140.0,+ 52.6%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1833,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,66637.0,+ 39.6%,48649.0,+ 44.7%,31140.0,+ 52.6%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1834,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,51197.0,+ 52.2%,32598.0,+ 59.7%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1835,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,51197.0,+ 52.2%,32598.0,+ 59.7%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1836,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,51197.0,+ 52.2%,31140.0,+ 52.6%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1837,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,51197.0,+ 52.2%,31140.0,+ 52.6%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1838,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,48649.0,+ 44.7%,32598.0,+ 59.7%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1839,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,48649.0,+ 44.7%,32598.0,+ 59.7%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1840,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,48649.0,+ 44.7%,31140.0,+ 52.6%,15207.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
1841,Ford Explorer,,,21999,23955,19554,20860,20369,17989,22293,28566,20473,24110,21935,19421,21347,21207,24035,20747,22782,21529,22361,24285,22676,25632,20865,22864,23955,23424,20860,21696,17989,17650,17650,16614,248507,249251,226650,227584,207022,210894,188425,190171,169279,169456,148299,145785,129107,122404,108751,99855,86961,77551,63415,58707,39003,35649,16614,17036,249251,209994,63415,58707,35649,26734,494,597,209994,192397,191530,175490,175148,161222,158652,145934,142857,130969,123466,115332,104460,101243,87170,84646,64547,66637,46068,51197,26734,32598,12810,15207,192397,164207,175490,146963,161222,132023,135847.0,+ 19.5%,122192.0,+ 21.9%,108044.0,+ 24.1%,101243.0,+ 30.0%,79714.0,+ 29.2%,62853.0,+ 33.6%,48649.0,+ 44.7%,31140.0,+ 52.6%,14554.0,9966,146963,121832,132023,108944,117803,96957,103754,85621,89891,75720,77894,65823,63269,55401,47731,42083,33645,29490,20406,17008,9966,7351,13872.0,+ 37.4%,12888.0,+ 217%,11987.0,3692.0
